0.0000,0.0000
0.1151,0.0395
0.2329,0.0790
0.3535,0.1185
0.4772,0.1581
0.6039,0.1978
0.7338,0.2375
0.8671,0.2773
1.0038,0.3171
1.1442,0.3569
1.2882,0.3967
1.4362,0.4365
1.5881,0.4763
1.7442,0.5160
1.9045,0.5557
2.0693,0.5954
2.2388,0.6349
2.4130,0.6743
2.5921,0.7136
2.7763,0.7526
2.9659,0.7915
3.1609,0.8301
3.3615,0.8684
3.5681,0.9065
3.7807,0.9441
3.9996,0.9813
4.2250,1.0181
4.4571,1.0544
4.6962,1.0901
4.9425,1.1252
5.1963,1.1597
5.4578,1.1934
5.7274,1.2262
6.0052,1.2582
6.2916,1.2892
6.5869,1.3192
6.8914,1.3480
7.2055,1.3756
7.5295,1.4019
7.8637,1.4267
8.2085,1.4500
8.5644,1.4716
8.9316,1.4914
9.3107,1.5093
9.7020,1.5252
10.1061,1.5388
10.5233,1.5500
10.9542,1.5587
11.3993,1.5647
11.8592,1.5678
