1.1609,1.4000,4.00,0.60
1.4249,1.4000,4.00,0.72
1.7012,1.4000,4.00,0.85
1.9907,1.4000,4.00,0.98
2.2941,1.4000,4.00,1.12
2.6124,1.4000,4.00,1.25
2.9465,1.4000,4.00,1.39
3.2974,1.4000,4.00,1.53
3.6660,1.4000,4.00,1.68
4.0536,1.4000,4.00,1.83
4.4612,1.4000,4.00,1.98
4.8900,1.4000,4.00,2.13
5.3414,1.4000,4.00,2.29
5.8168,1.4000,4.00,2.45
6.3175,1.4000,4.00,2.61
6.8453,1.4000,4.00,2.77
7.4016,1.4000,4.00,2.94
7.9884,1.4000,4.00,3.11
8.6075,1.4000,4.00,3.29
9.2609,1.4000,4.00,3.46
9.9507,1.4000,4.00,3.64
10.6793,1.4000,4.00,3.82
11.4491,1.4000,4.00,4.00
12.2628,1.4000,4.00,4.19
13.1231,1.4000,4.00,4.37
14.0331,1.4000,4.00,4.56
14.9959,1.4000,4.00,4.75
16.0150,1.4000,4.00,4.93
17.0942,1.4000,4.00,5.12
18.2373,1.4000,4.00,5.31
19.4487,1.4000,4.00,5.49
20.7329,1.4000,4.00,5.68
22.0949,1.4000,4.00,5.86
23.5398,1.4000,4.00,6.03
25.0734,1.4000,4.00,6.20
26.7019,1.4000,4.00,6.37
28.4317,1.4000,4.00,6.53
30.2700,1.4000,4.00,6.68
32.2244,1.4000,4.00,6.81
34.3032,1.4000,4.00,6.94
36.2440,1.4000,4.00,7.04
38.2434,1.4000,4.00,7.12
40.3752,1.4000,4.00,7.19
42.6485,1.4000,4.00,7.23
45.0733,1.4000,4.00,7.26
0.0000,1.4000,4.20,0.00
0.2311,1.4000,4.20,0.13
0.4725,1.4000,4.20,0.27
0.7249,1.4000,4.20,0.40
0.9894,1.4000,4.20,0.54
1.2668,1.4000,4.20,0.69
1.5579,1.4000,4.20,0.83
1.8639,1.4000,4.20,0.98
2.1856,1.4000,4.20,1.13
2.5242,1.4000,4.20,1.29
2.8808,1.4000,4.20,1.45
3.2566,1.4000,4.20,1.62
3.6528,1.4000,4.20,1.78
4.0707,1.4000,4.20,1.96
4.5119,1.4000,4.20,2.13
4.9778,1.4000,4.20,2.31
5.4699,1.4000,4.20,2.50
5.9902,1.4000,4.20,2.69
6.5403,1.4000,4.20,2.88
7.1222,1.4000,4.20,3.08
7.7381,1.4000,4.20,3.28
8.3902,1.4000,4.20,3.49
9.0809,1.4000,4.20,3.70
9.8128,1.4000,4.20,3.91
10.5886,1.4000,4.20,4.13
11.4114,1.4000,4.20,4.35
12.2843,1.4000,4.20,4.58
13.2107,1.4000,4.20,4.81
14.1943,1.4000,4.20,5.04
15.2391,1.4000,4.20,5.28
16.3494,1.4000,4.20,5.52
17.5297,1.4000,4.20,5.76
18.7849,1.4000,4.20,6.00
20.1205,1.4000,4.20,6.24
21.5422,1.4000,4.20,6.48
23.0562,1.4000,4.20,6.73
24.6692,1.4000,4.20,6.97
26.3885,1.4000,4.20,7.20
28.2219,1.4000,4.20,7.44
30.1779,1.4000,4.20,7.67
32.2658,1.4000,4.20,7.89
34.4954,1.4000,4.20,8.10
36.8777,1.4000,4.20,8.30
39.1634,1.4000,4.20,8.47
41.4954,1.4000,4.20,8.62
43.9930,1.4000,4.20,8.75
46.6686,1.4000,4.20,8.87
49.5358,1.4000,4.20,8.96
